"Normal","Status"
"telekomunikasi tlkm alokasi total dapat usaha belanja modal capex butuh besar alokasi capex bangun jaring infrastruktur telekomunikasi network broadband investasi platform digital utama telkom ririek andriandyah webinar tajuk akselerasi pulih ekonomi ririek sebut tlkm libat siap pasar digital proyek pimpin menteri program kembang ekosistem pasar digital usaha mikro tengah padi umkm ririek padi umkm telkom beeran data centralized agregator bb padi umkm delapan pp waskita wika pupuk pertamina bri gadai pnm tindak top pilot delapan kelompok giat umkm rumah kreatif rkb community development center cdc tindak lembaga biaya bri gadai pnm kait kembang jaring ririek jaring butuh jangka kembang butuh optimalisasi fixed wireless access sisi guna ritel konsumsi data internet telkom angka gb korea selatan terap jual paket data konsumen gb gb tingkat konsumsi data tumbuh guna jaring pada ririek butuh jaring entitas usaha sektor butuh layan data cepat real time butuh ririek kembang menteri komunikasi informatika kominfo cabut putus hasil lelang blok pita frekuensi radio ghz rentang mhz frekuensi sejati pakai gelar jaring operator seluler lolos hasil seleksi lelang frekuensi nyata batal terima tambah pita radio frekuensi ghz desember kominfo tetap operator seluler hak tambah pita frekuensi radio ghz rentang mhz smartfren telkomsel hutchison tri adhitya","positif"
"pandemi sadar era transformasi digital tranformasi fokus telkom tlkm digitalisasi negara pandemi negara maju utama tlkm ririek adriansyah acara th ceo forum butuh investasi transformasi tlkm buka pintu lebar lebar investor ambil buka swasta wujud digitalisasi terang ririek sempat wakil menteri pahala mansury muncul persepsi caplok proyek persepsi jembatan maju ekonomi gandeng swasta swasta jalin mitra harap pahala ririek pandemi alih platform digital imbang tren platform tlkm kembang jaring harap masuk ririek","positif"
"telkom persero aku persero lengkap laboratorium advanced technology research lab atr perangkat super komputer tangan workload artificial intelligence ai nvidia dgx telkom fajrin rasyid siar pers kirim surat elektronik nvidia dgx perangkat super komputer canggih khusus rancang tangan workload ai dukung riset lab ai cepat pemrosesan data training model algoritma ai fajrin wujud visi persero usaha telekomunikasi digital pilih utama telkom terus eksplorasi kembang digital teknologi prediksi horizon teknologi mainstream kait kembang teknologi digital tlkm aku riset teknologi ai area ai voice ai image video ai text nlp teknologi ai prediksi teknologi ai analytic salah dorong tumbuh industri fajrin fajrin telkom kembang lab atr liput lab ai lab robotic lab robotic programming automation lab blockchain lab ar augmented reality vr virtual reality lab biosignal teknologi depan telkom guna ai super komputer canggih nvidia dgx harap perangkat akselerasi kembang solusi dasar use case lab ai optimal cepat hasil produk bas ai papar fajrin tlkm guna ai super komputer canggih wujud komitmen persero kembang digital mampu nvidia dgx harap riset use case kembang laboratorium inovasi digital cepat optimal hasil produk bas ai telkom fajrin telkom technology hub layan inkubator usaha startup kolaborasi riset ai universitas komunitas perintah telkom riset bidang sehat teknologi ai deteksi sakit mata fajrin transformasi usaha telekomunikasi digital telkom fokus domain digital digital connectivity digital platform digital services ai salah digital platform tlkm akselerasi domain sedia smart platform hadir lab atr perangkat komputer super canggih nvidia dgx harap dukung kembang riset ai hasil use case manfaat tingkat daya saing inovasi cipta fajrin budi","positif"
"telkom persero tlkm raih harga best digitalization enabler enterise ajang award apresiasi terima langsung enterise business service telkom edi witjara malam anugerah award tema songsong bangkit ekonomi auditorium menara mega selatan kaji tim riset jabat menteri badan usaha mlik negara erick thohir kali sentil telkom tlkm terbang main layan telekomunikasi sentil februari rapat kerja komisi vi dpr ri erick telkom cepat transformasi bisnis era digital transformasi era digital kuat telkom jaring database sentil erick buka acara th telkom ipo anniversary siar virtual harap nilai kapital pasar market cap telkom tingkat nilai kapital pasar pimpin direksi valuasi telkom acu market cap telkom catat dual listing bursa new york nyse telkom satu dual listing nyse bei saham persero cetak kapital pasar kisar krisis pandemi tekan harga saham tlkm jalan investor singgung erick apresiasi bijak stategis jangka tengah jangka ladang minyak hasil untung acu kembang layan digital teknologi garap masif telkom telkom bagi digital domain konektivitas digital fiber fttx software defined networking sdn network function virtualization nfv satelit layan digital usaha langgan rumah tangga tiga platform digital liput pusat data data center komputasi awan cloud internet rupa internet things iot data big data aman siber cybersecurity cerdas buat artificial intelligence ai telkom andal dapat anak usaha telkomsel kontribusi juni kontributor asal lini jaring broadband indihome enterise wholesale dongkrak kerja drastis tarik investor pegang saham perseron amanat erick thohir telkom andal tumbuh organik dar telkomsel lompat genjot lini tumbuh pesat digital ekosistem digital besar tenggara ekonomi besar beopulasi teadat tenggara pasar layan platform digital pasar koorasi rumah tangga telkom kembang lini cipta mesin uang jalan visi telkom cepat bangun infrastruktur tingkat adopsi digital bangun ekosistem digital klien koorasi salah program baru jalan digitalisasi spbu pertamina enterise business service telkom edi witjara digitalisasi spbu pijak bangun ekosistem digital cakup luas jadi model digitalisasi depan cakup luas solusi model antisipasi kendala fiber optic gelar batas solusi integrasi edi serius persero kejar diversifikasi digital putus bangun fasilitas data center backbone segmen enterise tanggung tanggung fasilitas bangun tier standar data center baik data center segmen enterise catat dapat tumbuh tahun juni segmen wholesale data center cloud kerja bagus dapat tumbuh besar porsi swasta dapat enterise telkom lini diigital segmen enteprise prospektif hadap tantang pandemi picu hemat usaha swasta hal telkom bangun infrastruktur dukung layan digital krisis pandemi new normal jalan penuh telkom cetak lonjak minta jasa digital segmen enterise","netral"
"menteri badan usaha milik negara aksi koorasi telkom tlkm aksi koorasi lambat usaha menteri erick thohir aksi koorasi harap ungkit kapital pasar market capitalization usaha posisi angka harap telkom target bikin sakit perut valuasi telkom sebelumya kasih sambut raya telkom listing bursa new york roadmap telkom jalan posisi erick acara award gelar auditorium mega coorate action telkom imbuh berita telkom anak usaha dayamitra telekomunikasi mitratel tawar saham perdana initial public offering ipo pasar modal mitratel anak usaha telkom gerak bidang sedia infrastruktur telekomunikasi milik menara telekomunikasi sebar wilayah layan operator seluler menara telekomunikasi ipo mitratel beotensi usaha menara telekomunikasi besar menara hasil gabung menara milik telkomsel sisa milik mitratel industri mitratel usaha menara besar sisi menara","positif"
"telkom persero tlkm raih harga best state owned enterise nation building award apresiasi terima langsung utama telkom ririek ardiansyah malam anugerah award tema songsong bangkit ekonomi auditorium menara mega selatan kaji tim riset saham telkom tlkm lesat bulan persero ganti nama kukuh usaha beyond telecomunication digital misi teenting persero publik kenal telekomunikasi telkom surat fokus usaha bidang telekomunikasi persero main telekomunikasi besar nasional anak usaha telkomsel usaha pelat merah kuasa pangsa pasar nasional layan suara data digital juni telkomsel sumbang utama dapat konsolidasi porsi ubah nama telkom surat bursa efek bei november persero usaha tinggal kesan usaha fokus telekomunikasi pasal persero genjot digital butuh utama laku usaha masyarakat gelombang revolusi industri digital telkomsel lompat pandemi juni layan digital sumbang dapat telkomsel tulang punggung persero pasal konvensional layan suara pesan dll sumbang dapat telkomsel anjlok pimpin ririek adriansyah utama telkom konsolidasi cetak dapat lemah periode laba bersih relatif jaga capai juni upaya cepat digitalisasi telkom salah libat aktif proyek palapa ring infrastuktur dasar layan digital palapa ring perintah target jaring serat optik kilometer km hubung ibukota kabupaten kota dukung program perintah telkom integrasi backbone serat optik kabupaten kota milik proyek skema non kpbu kerjasama perintah badan usaha legacy telekomunikasi bentuk satu bangsa rengkuh adab digital awal transparansi bbmtelkom bagi digital domain konektivitas digital fiber fttx software defined networking sdn network function virtualization nfv satelit layan digital usaha langgan rumah tangga tiga platform digital liput pusat data data center komputasi awan cloud computing internet rupa internet things iot data big data cerdas buat artificial intelligence ai aman siber cybersecurity digital kembang telkomsel tumbuh pesat layan digitalisasi baru telkom wujud dukung program transparansi salur bahan bakar minyak bbm bph migas pertamina telkom luncur platform digitalisasi stasiun isi bahan bakar spbu program awas distribusi jenis bbm jbt minyak tanah kerosin solar volume verifikasi bph migas dasar hitung bayar subsidi data salah rugi negara sadar sistem andal percaya daerah nomor polisi beli jbt spbu lebih kuota anggota komite bph loba balia pers program pertamina pantau stok jual bbm transaksi bayar spbu data akses langsung menteri esdm menteri menteri uang bph migas awas salur bbm jenis bbm tugas khusus bbm subsidi bio solar premium kuat beeluang hapus bocor salur bbm subsidi spbu digital mudah masyarakat milik fasilitas bayar non tunai cashless payment pre purchase bayar isi bbm catat kendara beli bbm subsidi pandu peta spbu dekat profiling konsumen pertamina","netral"
"ceo mdi ventures donald wihardja digitalisasi salah kunci dorong tingkat produk usaha rintis digital business telkom persero tlkm muhammad fajrin rasyid peluang digitalisasi sektor layan sehat logistik agrikultur telkom grup dorong kerja kembang digital kembang industri digitalisasi lengkap saksi dialog aline wiratmaja ceo mdi ventures donald wihardja digital business telekomunikasi muhammad fajrin rasyid power lunch","positif"
"acara ulang telekomunikasi tlkm telkom menteri erick thohir hadiah manajemen persero tanggung tangung hadiah tugas berat angkat nilai kapital operator pelat merah erick valuasi capai iring transformasi usaha usaha telkom milik usaha infrastruktur besar milik telkom usaha besar milik infrastruktur mem push ubah covid mohon maaf bicara keras sayang sayang erick thohir acara th telkom ipo anniversary helat daring bursa efek telkom emiten kapital pasar nilai total kapital pasar bursa efek posisi emiten kapital pasar besar bei initial public offering ipo november telkom tahan porsi pegang saham publik perintah menteri genggam milik dagang harga saham telkom catat apresiasi level unit nilai kapital saham telkom catat target erick thohir sang menteri harap harga tlkm kisar unit total saham telkom tercatatat bursa efek unit harga saham telkom sentuh level harga level harga nilai kapital saham telkom catat capai tarik tlkm capai target erick bei tlkm satu usaha catat ganda dual listing bursa efek besar dunia new york stock exchange nyse catat kode saham tlk nyse telkom dagang harga unit tutup dagang subuh kapital pasar tara kurs asumsi kurs dollar target sang menteri capai harga tlk nyse capai level unit target capai cepat mata uang rupiah lemah tlk sentuh level tinggi harga unit mei silam kapital pasar tlkm nilai tukar greenback mata uang garuda","positif"
"menteri badan usaha milik negara erick thohir bidik nilai kapital telekomunikasi tlkm capai dasar data bursa efek nilai kapital pasar tlkm capai challenge direksi telkom nilai kapital telkom capai urus direksi valuasi telkom erick acara th telkom ipo anniversary gelar virtual erick optimistis target capai tlkm usaha pelat merah besar infrastruktur pandemi covid tlkm anggap sesuai ubah faktor dorong investor percaya usaha strategi jangka adaptasi ubah sisi erick transformasi taraf besar transformasi cermin gera harga saham top usaha bursa idx catat indeks gerak bullish enam gera unggul indeks lq capai periode realisasi pasar percaya transformasi yakin roadmap sepakat kapital pasar telkom naik erick informasi tutup dagang harga saham tlkm harga kikis harga saham tlkm hijau tingkat harga saham signifikan bulan capai","positif"
"usaha modal ventura milik telkom tlkm mdi ventures tawar saham perdana initial public offering ipo usaha startup rintis portofolio investasi usaha catat bursa efek bei rencana dual listing catat saham bursa managing partner mdi ventures kenneth li rencana ipo kuartal target dana oleh capai ya catat bei rencana dual listing pikir sektor tingkat kesiap startup februari maret kenneth ipo upaya usaha dukung ekosistem startup negeri aku mdi ventures milik cukup dana tahap dana startup tutup ipo salah rencana dasar situs resmi mdi ventures milik portofolio startup dana geniee inc saham catat tokyo stock exchange whispir catat australian securities exchange negeri portofolio startup nya kredivo qlue bahaso mdi ventures umum dana segar tara asumsi investor dana investasi startup","positif"
"harga saham telekomunikasi tlkm gerak naik zona hijau buka zona merah aksi koorasi anak usaha telkom telekomunikasi selular telkomsel masuk aplikasi karya anak bangsa gojek picu aksi borong saham telkom menit dagang saham harga saham telkom teantau naik harga unit nilai transaksi saham usaha pelat merah capai telkomsel benarresmi salah satupemegang saham gojekdengan suntik tara asumsi kerja pakat kemarin direkturutama telekomunikasi tlkm ririek adriansyahbuka suara respons kolaborasi lintas sektor anak usaha telekomunikasi selular telkomsel aplikasi karya anak bangsa akab aliasgojek wujud target telkomgroup usaha telekomunikasi digital depan kolaborasi jalan visi misi telkomgroup orkestrasi strategi kuat synergy value jalan usaha dampak positif kuat portofolio telkomgroup akselerasi ekonomi digital ririek siar pers aksi koorasi ririek rencana telkomsel lengkap strategi transformasi kembang layan digital kuat kapasitas kualitas sumber daya manusia talenta digital ririekmengingatkan telkomsel pilar digital jalan sedia konektivitas digital layan digital platform digital penandatanganan investasi telkomsel gojek fokus kembang produk program inovatif hemat biaya promosi bundling produk kolaborasi bidang gaya hidup digital kembang solusi teknologi iklan digital laku usaha skala gojek telkomsel bekerjasama bidang daya talenta tukar alam program bina ahli profesional bentuk upaya tingkat sumber daya manusia teknologi investasi telkom gojekdilakukanmelalui anak usaha telekomunikasi selular telkomsel dana capai asumsi kurs utama tekomsel setyanto hantoro langkah tegas langkah usaha bangun ekosistem digital inklusif lanjut percaya kerja gojek ekosistem luas akselerasi transformasi telkomsel digital telco company kuat konsistensi usaha bangun ekosistem digital inklusif lanjut hadap situasi penuh tantang pandemi semangat kolaborasi fondasi hadir manfaat teknologi digital sektor hidup lapis masyarakat andre soelistyo ceo gojek groupmengatakan kolaborasi strategis telkomsel harap akselerasi ekonomi digital tahap leap frog pasal ekonomi digital dorong kembang perangkat seluler mobile first market gojek inspirasi pimpin industri teknologi bangga telkomsel investasi telkomsel percaya dalam model platform gojek jangkau luas ekosistem dampak positif hasil masyarakat ekonomi tempat posisi uang kuat dorong tumbuh andre resmi","positif"
"harga saham telekomunikasi tlkm telkom lesat dagang pagi siar kabar anak usaha telkom telekomunikasi selular telkomsel resmi tanam investasi usaha decacorn karya anak bangsa gojek harga saham telkom dasar data dagang bursa efek bei tutup sesi lesat harga unit saham transaksi tepat pek saham telkom aktif transaksi investor pek harga saham telkom lesat kabar telkomsel resmi investasi gojek berita detikinet investasi telkomsel nila dolar coba konfirmasi kabar vp coorate communication telkomsel den abidin berita tulis jelas den investor masuk gojek juni facebook paypal google tencent maret usaha dana seri nilai dolar visa mitsubishi motors mitsubishi cooration mitsubishi ufj financial group","positif"
"telekomunikasi tlkm catat naik laba bersih tipis year year yoy kuartal iii catat laba bersih usaha naik banding periode nila dasar lapor uang usaha naik laba bawa laba saham naik naik laba bersih kendati dapat usaha turun yoy september september dapat usaha catat segi produk dapat data capai naik posisi kontribusi data mobile capai periode naik dapat dapat indihome alami naik sayang naik dapat produk tahan turun dapat telepon turun september periode nilai dapat telepon capai kontributor utama dapat usaha konsolidasi asal dapat mobile kontribusi dapat nilai turun oleh dapat pos consumer nilai naik banding porsi dapat enterise september kontribusi nilai turun periode dapat wib kontribusi naik nila dapat turun segi aset nilai aset lancar turun posisi desember nilai kas tara kas usaha susut aset lancar tingkat posisi total aset usaha periode september naik segi liabilitas jangka pendek naik liabilitas kontrak liabilitas jangka naik posisi desember naik pinjam jangka liabilitas kontrak total liabilitas usaha capai september naik posisi nilai ekuitas catat naik tipis sembilan","positif"
"telekomunikasi seluler telkomsel anak usaha telekomunikasi tlkm telkom alas lepas menara telekomunikasi base transceiver station bts sister company nya dayamitra telekomunikasi mitratel nila telkomsel transformasi fokus inti operator telekomunikasi utama telkomsel setyanto hantoro telkomsel dukung sepakat komitmen lanjut transformasi usaha kuat tata portofolio telkom group lepas menara telekomunikasi milik telkomsel fokus utama usaha telekomunikasi digital depan setyanto siar pers salah prioritas strategi kuat ekosistem digital sedia layan digital connectivity baik rata kembang layan digital services digital platform kini masyarakat setyanto dana oleh transaksi maksimal kembang investasi bangun ekosistem digital telkomsel depan hadir konektivitas layan platform bas digital customer centric strategic portfolio telkom budi setyawan wijaya aksi koorasi anak usaha tata portofolio telkom group optimalisasi aset milik optimal value pegang saham langkah upaya value creation tower entitas anak usaha fokus kuat lini bisnis wakil menteri ri kartika wirjoatmodjo sepakat telkomsel mitratel menara langkah restrukturisasi portofolio telkom group langsung usaha jangka inisiatif perintah upaya restrukturisasi kembali inti usaha cipta nilai struktur usaha ideal kartiko transaksi kartika telkomsel fokus beeran hadir ragam produk layan digital kini masyarakat implementasi depan kelola aset kerja organisasi ideal efektif upaya cepat transformasi usaha layan digital wujud kuat ekosistem gaya hidup digital inklusif siar pers utama mitratel theodorus ardi hartoko aksi koorasi salah strategi tingkat kapabilitas sisi aspek infrastruktur telekomunikasi alih milik menara telekomunikasi milik telkomsel kuat mitratel fundamental cipta nilai mitratel dampak positif kuat industri telekomunikasi nasional sektor menara telekomunikasi theodorus sepakat jual menara telkomsel mitratel tuang janji jual beli syarat conditional sale purchase agreement cspa alih milik menara telekomunikasi milik telkomsel mitratel alih milik tahap target selesai triwulan catat mitratel proses langsung tawar saham perdana initial public offering ipo","positif"
"anak usaha telekomunikasi tlkm gerak bidang sedia infrastruktur telekomunikasi dayamitra telekomunikasi mitratel beli menara telekomunikasi nila beli menara kuat fundamental usaha dasar buka informasi rilis usaha bursa efek bei beli mitratel sister company nya telekomunikasi selular telkomsel transaksi transaksi afiliasi kecuali giat usaha utama usaha kendali mitratel telkomsel menandatangani janji jual beli syarat conditional sales purchase agreement cspa transaksi penuh wajib cspa mitratel milik tambah menara beli kuat fundamental cipta nilai mitratel bantu mitratel realisasi rencana jangka panjang tulis buka informasi telkomsel fokus utama usaha telekomunikasi digital depan bangun ekosistem digital alam digital connectivity baik langgan telkomsel mitratel kabar tawar saham perdana initial public offering ipo manajemen telkom rencana ipo kelola portofolio usaha optimalisasi aset milik usaha telkomgroup konsolidasi internal kaji detil wacana ipo mitratel upaya value creation tower telkomgroup manajemen usaha buka informasi","positif"
